,8_yakutsk_db,8_yakutsk_hr,7_ostersund_db,7_ostersund_hr,6a_oslo_db,6a_oslo_hr,5b_dunhuang_db,5b_dunhuang_hr,5c_birmingham_db,5c_birmingham_hr,4a_paris_db,4a_paris_hr,1a_miami_db,1a_miami_hr
44,-39.0,6.9e-05,-12.9,0.000856,1.2,0.0042,13.0,0.004326,-1.4,0.002343,3.4,0.004707,22.2,0.013156
45,-39.0,6.9e-05,-13.1,0.000867,1.2,0.004195,11.9,0.004299,-2.0,0.00232,2.9,0.004538,22.2,0.013156
46,-39.0,6.9e-05,-13.2,0.000858,1.1,0.004165,11.0,0.004049,-1.5,0.002241,2.4,0.004424,22.2,0.013156
47,-38.7,7e-05,-12.8,0.00089,-1.5,0.003459,10.0,0.004353,-1.8,0.002262,2.3,0.004387,20.6,0.014061
48,-38.3,7.3e-05,-12.5,0.000923,-4.1,0.002777,10.0,0.004353,-2.7,0.00215,2.2,0.004401,20.0,0.013538
49,-38.0,7.5e-05,-12.1,0.000948,-6.7,0.001997,8.0,0.004296,-3.5,0.002232,2.1,0.004365,20.0,0.013552
50,-38.2,7.3e-05,-12.0,0.000998,-4.9,0.00259,8.0,0.004296,-4.8,0.002107,2.0,0.004334,20.0,0.013105
51,-38.3,7.3e-05,-11.9,0.001049,-3.2,0.002994,8.0,0.004296,-4.5,0.001863,1.9,0.004346,20.0,0.013552
52,-38.5,7.2e-05,-11.8,0.001091,-1.4,0.003411,7.0,0.00368,-5.7,0.002071,1.8,0.004315,20.0,0.013999
53,-38.4,7.3e-05,-11.1,0.001209,-1.7,0.003323,6.0,0.003676,-6.6,0.002233,1.9,0.004346,20.0,0.013985
54,-38.4,7.3e-05,-10.5,0.001314,-1.9,0.003267,5.5,0.003669,-5.9,0.002223,2.0,0.004373,20.0,0.013538
55,-38.3,7.5e-05,-9.8,0.001398,-2.2,0.003183,5.0,0.003712,-5.4,0.002579,1.7,0.00428,20.0,0.013524
56,-38.5,7.3e-05,-9.3,0.001462,-2.0,0.00323,7.0,0.003672,-5.2,0.002919,2.0,0.004373,20.6,0.014033
57,-38.6,7.1e-05,-8.9,0.001513,-1.7,0.003309,10.4,0.003383,-2.8,0.002585,2.2,0.004437,23.3,0.014056
58,-37.0,8.6e-05,-8.4,0.001568,-1.5,0.003361,11.0,0.00309,-1.6,0.003009,2.5,0.004488,25.0,0.014002
59,-36.5,9e-05,-7.4,0.001713,-0.8,0.003381,13.0,0.002842,0.0,0.002799,2.7,0.004506,26.1,0.014107
60,-36.1,9.5e-05,-6.4,0.001835,-0.2,0.003397,13.2,0.002879,1.3,0.002815,2.9,0.004524,26.1,0.01369
61,-35.6,0.0001,-5.4,0.001963,0.5,0.003457,14.0,0.003142,1.7,0.003098,3.1,0.004541,26.1,0.013704
62,-35.6,0.0001,-5.1,0.002014,1.0,0.003333,15.0,0.003132,2.2,0.003445,3.0,0.004698,26.7,0.013093
63,-35.6,0.0001,-4.7,0.002067,1.6,0.003303,15.5,0.003116,1.5,0.002966,3.2,0.004627,26.7,0.013093
64,-35.6,0.0001,-4.4,0.002122,2.1,0.003285,15.0,0.003129,0.1,0.003097,3.5,0.00453,26.7,0.012648
65,-36.1,9.4e-05,-4.2,0.002074,1.0,0.00316,15.0,0.003129,-0.9,0.003055,3.5,0.004526,25.0,0.011803
66,-36.5,9e-05,-3.9,0.002026,-0.2,0.003192,14.2,0.003077,-0.8,0.002964,3.6,0.004509,23.9,0.01367
67,-37.0,8.6e-05,-3.7,0.002,-1.3,0.003122,13.0,0.003437,-1.1,0.002915,3.6,0.004509,23.3,0.014084
68,-37.1,8.5e-05,-3.7,0.001942,-2.1,0.003014,12.0,0.003402,-1.2,0.002896,3.5,0.004477,22.8,0.014009
69,-37.1,8.3e-05,-3.7,0.001879,-2.9,0.002878,11.8,0.003722,-1.4,0.002875,3.4,0.004494,22.8,0.013995
70,-37.2,8.1e-05,-3.7,0.001824,-3.7,0.002747,11.0,0.003702,-1.2,0.002727,3.3,0.00451,22.2,0.014519
71,-37.0,8.4e-05,-4.1,0.001893,-4.2,0.002657,11.0,0.004049,-1.3,0.002635,3.0,0.004466,21.7,0.014073
72,-36.7,8.7e-05,-4.5,0.001961,-4.8,0.002524,10.3,0.004033,-1.2,0.003014,2.8,0.00445,20.6,0.013611
73,-36.5,8.9e-05,-4.9,0.002032,-5.3,0.00242,9.7,0.004111,0.0,0.003501,2.5,0.004451,20.6,0.013611
74,-36.5,9e-05,-6.4,0.001783,-5.1,0.002462,9.0,0.004224,-0.6,0.003486,2.0,0.004387,20.0,0.013105
75,-36.6,8.9e-05,-8.0,0.001487,-4.8,0.002526,8.4,0.004347,-0.3,0.003592,1.7,0.004293,20.0,0.013105
76,-36.6,8.9e-05,-9.5,0.001187,-4.6,0.002546,7.0,0.004346,0.5,0.003487,1.5,0.004235,20.6,0.014075
77,-36.8,8.7e-05,-10.0,0.001169,-3.6,0.002804,7.0,0.004015,0.9,0.003487,1.3,0.004179,20.6,0.013611
78,-37.1,8.5e-05,-10.5,0.001141,-2.5,0.003081,6.2,0.003669,1.8,0.003534,1.1,0.004119,19.4,0.013619
79,-37.3,8.2e-05,-11.0,0.001113,-1.5,0.003351,7.0,0.00368,1.8,0.003397,0.9,0.004063,19.4,0.013605
80,-37.5,8e-05,-10.7,0.001178,-0.2,0.003547,9.0,0.003689,2.0,0.003633,0.9,0.004068,20.0,0.013538
81,-37.7,7.7e-05,-10.5,0.001249,1.0,0.003711,10.0,0.003708,1.8,0.003732,1.0,0.004097,21.7,0.014555
82,-38.0,7.5e-05,-10.2,0.00131,2.3,0.003983,12.0,0.003683,2.2,0.003963,1.3,0.004023,23.3,0.01518
83,-37.0,8.3e-05,-9.9,0.00123,2.2,0.003909,14.0,0.003677,3.1,0.003925,1.9,0.004029,24.4,0.0145
84,-36.0,9.3e-05,-9.7,0.001167,2.2,0.003859,15.6,0.003732,3.4,0.003937,2.6,0.004105,25.6,0.014566
85,-35.0,0.000104,-9.4,0.00109,2.1,0.003832,17.0,0.004082,3.6,0.004072,3.2,0.00414,25.6,0.013741
86,-35.3,0.0001,-10.7,0.001021,1.9,0.003777,18.0,0.004081,4.2,0.003992,3.0,0.004129,25.6,0.014161
87,-35.5,9.9e-05,-11.9,0.000956,1.7,0.003763,18.8,0.003717,4.3,0.004009,3.3,0.004222,25.0,0.01364
88,-35.8,9.6e-05,-13.2,0.000856,1.5,0.0038,18.0,0.004081,4.4,0.004077,3.6,0.004363,23.9,0.014644
89,-36.1,9.3e-05,-14.3,0.000831,1.4,0.003816,17.0,0.004344,3.9,0.003946,3.4,0.004355,22.2,0.01368
90,-36.5,8.9e-05,-15.5,0.000798,1.3,0.003831,11.8,0.003738,3.8,0.003938,3.3,0.004324,20.6,0.015145
91,-36.8,8.5e-05,-16.6,0.00075,1.2,0.003893,15.0,0.003703,3.5,0.003946,3.1,0.004312,18.9,0.012612
92,-37.1,8.3e-05,-16.4,0.000749,1.1,0.003949,14.0,0.003681,3.3,0.003974,3.0,0.004185,18.3,0.012138
93,-37.5,8e-05,-16.1,0.000732,1.0,0.004004,14.2,0.003729,3.5,0.004251,3.0,0.004141,18.3,0.011739
94,-37.8,7.8e-05,-15.9,0.000731,0.9,0.004059,14.0,0.003685,3.6,0.004281,2.6,0.004215,18.9,0.01138
95,-37.3,8.3e-05,-15.7,0.000738,0.7,0.004,13.0,0.003451,3.2,0.004255,2.3,0.004171,18.9,0.010978
96,-36.8,8.7e-05,-15.5,0.000744,0.5,0.003943,12.0,0.00463,3.3,0.004255,2.0,0.004086,18.9,0.01138
97,-36.3,9.2e-05,-15.3,0.000742,0.3,0.003925,11.0,0.00407,3.2,0.004452,1.7,0.004043,18.9,0.01138
98,-36.7,8.7e-05,-16.1,0.000696,0.2,0.003861,10.0,0.00405,3.2,0.004489,1.8,0.004076,17.8,0.011767
99,-37.1,8.2e-05,-16.9,0.000638,0.1,0.003833,9.5,0.00431,3.2,0.004477,1.8,0.00408,17.8,0.012154
100,-37.5,7.8e-05,-17.7,0.000579,0.0,0.003805,9.0,0.004319,3.3,0.004514,1.9,0.00411,17.2,0.01131
101,-37.6,7.8e-05,-14.9,0.000873,0.4,0.003878,9.0,0.004314,3.1,0.004579,1.9,0.00411,16.7,0.01131
102,-37.7,7.8e-05,-12.1,0.001109,0.9,0.00398,8.0,0.004314,3.2,0.004632,2.0,0.004144,16.7,0.010951
103,-37.8,7.8e-05,-9.3,0.001278,1.3,0.004054,8.0,0.004314,3.4,0.004766,2.5,0.00416,16.7,0.010581
104,-36.7,8.9e-05,-7.5,0.001385,2.3,0.004172,10.0,0.00372,3.7,0.004908,2.5,0.004206,16.7,0.01094
105,-35.5,9.9e-05,-5.8,0.001465,3.3,0.004283,11.7,0.003717,3.8,0.004953,2.4,0.004227,17.2,0.010547
106,-36.8,8.5e-05,-4.0,0.001498,4.3,0.004385,14.0,0.003689,4.2,0.005005,2.4,0.004277,19.4,0.011014
107,-36.7,8.7e-05,-3.3,0.001496,4.5,0.004285,15.0,0.003714,4.3,0.005131,3.7,0.00449,20.6,0.010962
108,-36.6,8.8e-05,-2.5,0.001472,4.7,0.004232,17.2,0.003366,4.6,0.005282,5.0,0.004704,22.8,0.011718
109,-36.5,8.9e-05,-1.8,0.001432,4.9,0.004126,19.0,0.00348,4.8,0.005509,6.3,0.004912,22.8,0.011718
110,-36.4,9e-05,-2.4,0.001326,4.7,0.003905,21.0,0.002622,5.2,0.00578,6.0,0.00517,23.9,0.012163
111,-36.3,9.1e-05,-3.0,0.001217,4.5,0.003689,22.0,0.002441,5.5,0.005314,6.0,0.00529,22.8,0.012245
112,-36.2,9.2e-05,-3.6,0.001108,4.3,0.003485,22.0,0.002441,6.2,0.005658,6.1,0.005453,22.2,0.012137
113,-36.2,9.1e-05,-4.0,0.001069,4.1,0.003912,21.0,0.002625,5.3,0.005333,6.0,0.00553,22.2,0.012125
114,-36.2,9.1e-05,-4.4,0.001033,3.8,0.004245,19.2,0.002053,5.6,0.005063,5.8,0.005571,21.7,0.01274
115,-36.2,9.1e-05,-4.8,0.000981,3.6,0.004698,18.0,0.002447,4.6,0.004795,5.6,0.005552,22.2,0.012125
116,-36.1,9.2e-05,-5.1,0.000954,2.6,0.004427,17.0,0.002425,4.3,0.004613,5.7,0.00565,22.2,0.011763
117,-36.1,9.1e-05,-5.5,0.00092,1.6,0.004217,16.0,0.002395,4.3,0.004579,5.7,0.005709,22.2,0.011268
118,-36.0,9.2e-05,-5.8,0.000889,0.6,0.004004,15.0,0.002926,3.6,0.004795,5.8,0.005814,21.7,0.011251
119,-36.2,9e-05,-5.7,0.000882,1.2,0.004101,14.0,0.003378,2.9,0.004613,6.0,0.00595,21.7,0.011262
120,-36.5,8.7e-05,-5.6,0.000883,1.8,0.004242,13.7,0.003104,4.3,0.004447,6.1,0.005991,21.7,0.011766
121,-36.7,8.5e-05,-5.5,0.000891,2.4,0.004382,12.8,0.003028,3.6,0.004628,6.3,0.006076,21.7,0.011766
122,-36.8,8.4e-05,-5.5,0.000883,2.4,0.004382,12.0,0.003434,3.1,0.00462,6.2,0.006033,21.7,0.012259
123,-36.9,8.5e-05,-5.6,0.000883,2.4,0.004429,11.6,0.003159,4.3,0.004404,6.2,0.006033,21.7,0.012753
124,-37.0,8.5e-05,-5.6,0.000875,2.4,0.00448,11.4,0.003386,4.6,0.00434,6.1,0.005991,22.2,0.013156
125,-37.2,8.2e-05,-5.7,0.000845,2.0,0.004353,11.2,0.003695,4.1,0.004569,6.0,0.005956,22.2,0.012646
126,-37.3,8e-05,-5.7,0.000816,1.7,0.004305,11.0,0.004083,4.6,0.004624,6.0,0.00595,22.8,0.013126
127,-37.5,7.7e-05,-5.8,0.000786,1.3,0.00423,11.0,0.004083,5.0,0.004541,6.1,0.005998,22.8,0.013655
128,-37.6,7.6e-05,-5.6,0.00083,1.6,0.004323,12.0,0.00408,5.2,0.004539,6.0,0.005956,23.3,0.013524
129,-37.8,7.4e-05,-5.5,0.000866,2.0,0.004454,13.8,0.004073,4.8,0.004592,6.2,0.005918,23.9,0.014033
130,-37.9,7.4e-05,-5.3,0.000905,2.3,0.004551,15.0,0.004067,5.5,0.004413,6.5,0.005856,25.0,0.014607
131,-37.7,7.6e-05,-4.9,0.000906,2.3,0.004551,17.0,0.004108,6.4,0.004562,6.7,0.005881,25.6,0.014537
132,-37.5,7.9e-05,-4.4,0.000907,2.2,0.004518,20.0,0.004028,6.6,0.004399,7.0,0.005881,25.6,0.014551
133,-37.3,8.1e-05,-4.0,0.000907,2.2,0.004518,23.0,0.004279,6.7,0.004425,7.2,0.005839,25.6,0.015197
134,-37.2,8.2e-05,-3.8,0.000957,2.2,0.004514,18.4,0.004058,7.0,0.004301,7.2,0.005779,26.7,0.015135
135,-37.2,8.1e-05,-3.5,0.000992,2.3,0.004542,13.8,0.004073,7.1,0.004374,7.3,0.005819,26.1,0.015246
136,-37.1,8.2e-05,-3.3,0.001035,2.3,0.004546,23.0,0.004284,6.3,0.004375,7.3,0.005759,26.1,0.015262
137,-37.5,7.8e-05,-3.5,0.001026,2.1,0.004481,22.0,0.004387,5.6,0.004345,7.5,0.005845,25.0,0.015682
138,-38.0,7.4e-05,-3.6,0.001007,2.0,0.004454,21.3,0.00471,4.9,0.004202,7.6,0.005959,24.4,0.014529
139,-38.4,7.1e-05,-3.8,0.000998,1.8,0.004386,20.0,0.004345,4.3,0.003826,7.8,0.006048,24.4,0.015116
140,-38.7,6.8e-05,-3.7,0.001032,1.7,0.004354,19.0,0.00437,3.5,0.003933,7.6,0.006168,24.4,0.015705
141,-39.1,6.6e-05,-3.5,0.001078,1.6,0.004318,18.2,0.004713,2.2,0.003846,7.3,0.006241,24.4,0.015705
142,-39.4,6.4e-05,-3.4,0.001097,1.5,0.004283,17.0,0.005409,2.6,0.003919,7.1,0.006352,24.4,0.015705
143,-39.1,6.6e-05,-3.4,0.001273,1.2,0.004187,16.0,0.005438,1.8,0.003326,7.5,0.006597,23.9,0.016373
144,-38.8,6.9e-05,-3.5,0.001423,0.9,0.004097,16.0,0.005438,1.6,0.002981,8.0,0.006836,24.4,0.016311
145,-38.5,7.1e-05,-3.5,0.001599,0.6,0.004045,15.0,0.005218,-0.3,0.002965,8.4,0.007019,23.9,0.016389
146,-38.4,7.3e-05,-3.3,0.001448,0.5,0.003971,14.0,0.004674,-1.6,0.003559,8.7,0.007091,23.9,0.016789
147,-38.4,7.3e-05,-3.0,0.001285,0.4,0.003942,14.2,0.004736,-1.4,0.003757,9.1,0.00713,21.7,0.015143
148,-38.3,7.5e-05,-2.8,0.001154,0.3,0.003909,14.0,0.004674,0.3,0.003753,9.4,0.007201,22.2,0.016314
149,-38.2,7.5e-05,-3.0,0.001172,0.2,0.003877,13.0,0.004673,1.5,0.003959,9.2,0.007323,22.2,0.015624
150,-38.1,7.4e-05,-3.2,0.001191,0.1,0.003809,13.0,0.004673,2.3,0.004074,9.0,0.007365,22.8,0.016415
151,-38.0,7.4e-05,-3.4,0.001209,0.0,0.003817,12.0,0.00465,2.4,0.004041,9.3,0.007137,22.8,0.015667
152,-37.7,7.7e-05,-3.5,0.001217,0.0,0.003695,13.0,0.004663,2.8,0.004225,9.3,0.007054,22.8,0.015667
153,-37.5,7.9e-05,-3.7,0.001236,0.1,0.003601,14.7,0.004989,3.5,0.004337,9.3,0.007047,23.9,0.016356
154,-37.2,8.1e-05,-3.8,0.001236,0.1,0.003561,16.0,0.005798,4.3,0.004537,9.3,0.006964,25.6,0.016884
155,-37.4,8.1e-05,-3.7,0.001207,0.2,0.003425,17.0,0.007617,4.5,0.005013,9.2,0.006909,26.7,0.01626
156,-37.5,8e-05,-3.7,0.001169,0.2,0.003307,18.4,0.008187,5.3,0.005165,9.9,0.007081,27.8,0.015224
157,-37.7,7.8e-05,-3.6,0.001142,0.3,0.003291,19.0,0.008216,6.2,0.005373,10.7,0.007218,28.3,0.014712
158,-37.4,8.1e-05,-3.9,0.00119,0.2,0.003109,20.0,0.008275,6.8,0.005361,10.9,0.007225,27.8,0.015239
159,-37.1,8.3e-05,-4.2,0.001268,0.2,0.00303,21.0,0.008127,7.2,0.005509,11.2,0.007279,27.8,0.015224
160,-36.8,8.5e-05,-4.5,0.001319,0.1,0.003008,19.0,0.007614,7.0,0.005727,11.4,0.007203,20.0,0.013132
161,-36.8,8.6e-05,-3.5,0.001396,0.0,0.002947,17.0,0.007087,6.9,0.005928,11.0,0.007259,20.0,0.014027
162,-36.9,8.5e-05,-2.4,0.001477,-0.1,0.003077,15.0,0.007604,7.3,0.006126,10.1,0.007055,20.6,0.014569
163,-36.9,8.5e-05,-1.4,0.001524,-0.2,0.00309,14.5,0.00713,7.8,0.00624,9.2,0.00686,21.1,0.014554
164,-37.2,8.3e-05,-1.3,0.00205,-0.4,0.00319,14.0,0.007107,7.8,0.006327,8.6,0.006578,21.1,0.012626
165,-37.4,8.1e-05,-1.1,0.002659,-0.5,0.003313,13.0,0.006654,7.9,0.006527,8.0,0.006306,21.1,0.013103
166,-37.7,7.8e-05,-1.0,0.003344,-0.7,0.003443,12.0,0.006227,8.1,0.006638,7.6,0.006401,21.7,0.012283
167,-37.8,7.7e-05,-0.7,0.003093,-0.9,0.003313,12.0,0.006227,8.4,0.006459,7.7,0.006439,20.6,0.013625
168,-37.8,7.6e-05,-0.3,0.00285,-1.0,0.00325,12.0,0.006227,9.1,0.006575,7.8,0.006484,21.1,0.013568
169,-37.9,7.5e-05,0.0,0.002597,-1.2,0.003126,12.0,0.006321,8.7,0.006434,7.9,0.006522,20.6,0.013611
170,-38.1,7.4e-05,0.3,0.001931,-1.2,0.003161,12.0,0.006516,9.6,0.006303,9.0,0.006733,18.9,0.011818
171,-38.3,7.2e-05,0.7,0.001489,-1.1,0.003223,12.0,0.006603,9.1,0.006463,8.6,0.006551,17.8,0.010619
172,-38.5,7.2e-05,1.0,0.001332,-1.1,0.003259,11.7,0.00684,9.3,0.006738,8.3,0.006411,17.2,0.009847
173,-38.6,7.1e-05,0.9,0.001321,-1.1,0.00333,11.4,0.006968,9.5,0.006679,8.0,0.006281,17.2,0.009477
174,-38.7,6.9e-05,0.9,0.001516,-1.2,0.003373,11.1,0.007088,9.6,0.006616,7.7,0.006219,16.1,0.009393
175,-38.8,6.9e-05,0.8,0.001921,-1.2,0.003447,11.0,0.006601,9.8,0.006735,7.4,0.006085,15.6,0.009417
176,-38.8,6.9e-05,0.4,0.001674,-1.1,0.003404,12.0,0.008178,10.0,0.005977,7.2,0.006002,15.6,0.009852
177,-38.8,6.9e-05,0.1,0.001656,-1.0,0.003361,12.0,0.008178,9.3,0.005226,7.0,0.005856,16.7,0.009387
178,-38.8,6.9e-05,-0.3,0.001837,-0.9,0.003353,12.0,0.007614,7.4,0.005101,6.9,0.006011,17.2,0.008712
179,-38.1,7.5e-05,-0.3,0.001779,-0.7,0.003487,12.0,0.00705,7.1,0.004219,8.3,0.006272,17.8,0.008161
180,-37.3,8.3e-05,-0.2,0.001723,-0.6,0.003553,12.5,0.0043,7.1,0.003687,9.6,0.006474,18.9,0.007533
181,-36.6,9e-05,-0.2,0.001645,-0.4,0.003684,13.0,0.007643,7.3,0.00322,11.0,0.006795,19.4,0.007501
182,-36.1,9.4e-05,0.2,0.001244,-0.7,0.003446,12.0,0.007065,7.2,0.003477,13.0,0.00633,20.6,0.00733
183,-35.5,0.0001,0.6,0.001066,-1.0,0.003214,12.4,0.00716,6.8,0.003802,12.3,0.006134,21.1,0.007094
184,-35.0,0.000105,1.0,0.001104,-1.3,0.00296,12.0,0.007058,6.6,0.003776,11.6,0.005948,21.1,0.007094
185,-35.5,0.0001,0.4,0.000928,-1.5,0.002873,11.5,0.00728,5.6,0.00372,10.9,0.005764,20.0,0.007199
186,-36.1,9.4e-05,-0.1,0.00114,-1.8,0.002732,11.0,0.00712,5.5,0.003728,10.2,0.005658,17.8,0.007533
187,-36.6,9e-05,-0.7,0.001163,-2.0,0.002621,11.0,0.00712,5.3,0.003888,9.5,0.005477,17.2,0.007609
188,-36.6,9e-05,-0.6,0.001294,-2.6,0.002552,10.0,0.007066,4.7,0.003905,9.0,0.005514,16.7,0.007606
189,-36.5,9.1e-05,-0.6,0.001411,-3.3,0.002464,9.5,0.007625,4.9,0.004084,8.5,0.005541,15.6,0.008188
190,-36.5,9e-05,-0.5,0.001561,-3.9,0.002423,8.7,0.007295,4.2,0.004196,8.0,0.005565,15.0,0.007875
