,8_yakutsk_db,8_yakutsk_hr,7_ostersund_db,7_ostersund_hr,6a_oslo_db,6a_oslo_hr,5b_dunhuang_db,5b_dunhuang_hr,5c_birmingham_db,5c_birmingham_hr,4a_paris_db,4a_paris_hr,1a_miami_db,1a_miami_hr
783,-36.4,8.7e-05,-19.7,0.000359,2.1,0.003275,22.0,0.004382,4.3,0.005065,8.0,0.004097,26.7,0.01515
784,-36.2,8.8e-05,-20.3,0.000284,2.3,0.003367,22.0,0.004382,4.1,0.005029,7.7,0.004076,22.8,0.013165
785,-36.6,8.4e-05,-19.7,0.000323,2.1,0.003363,21.0,0.004286,4.0,0.004922,8.0,0.004089,20.0,0.012659
786,-37.1,7.9e-05,-19.1,0.000359,2.0,0.003513,20.6,0.004339,3.9,0.00506,8.0,0.004422,18.3,0.011363
787,-37.5,7.4e-05,-18.5,0.000394,1.8,0.003632,20.0,0.004335,3.9,0.005132,7.4,0.004373,16.7,0.009535
788,-38.2,7e-05,-19.0,0.000384,0.6,0.003408,19.0,0.004365,4.0,0.005106,7.0,0.00438,16.1,0.009508
789,-38.9,6.5e-05,-19.5,0.000366,-0.5,0.003347,18.1,0.004401,4.2,0.004998,7.0,0.004375,16.1,0.00881
790,-39.6,6e-05,-20.0,0.00034,-1.7,0.003192,17.0,0.004626,4.0,0.005029,6.9,0.00422,16.1,0.008467
791,-39.9,5.8e-05,-19.8,0.000355,-3.1,0.002866,16.0,0.004703,3.7,0.005194,7.0,0.004124,15.6,0.008529
792,-40.3,5.6e-05,-19.5,0.000366,-4.4,0.002566,15.7,0.004737,3.8,0.0053,6.0,0.004376,14.4,0.006552
793,-40.6,5.4e-05,-19.3,0.000373,-5.8,0.002231,15.3,0.004732,4.4,0.005317,5.9,0.004229,13.9,0.004964
794,-40.8,5.3e-05,-17.7,0.000568,-3.3,0.002537,15.0,0.004984,4.7,0.005209,6.0,0.00438,13.3,0.004772
795,-40.9,5.2e-05,-16.0,0.000758,-0.7,0.002876,14.3,0.005089,4.6,0.005168,6.0,0.00438,12.8,0.004253
796,-41.1,5.1e-05,-14.4,0.000926,1.8,0.003175,14.0,0.00499,4.6,0.005179,5.8,0.004261,12.2,0.004259
797,-41.2,5e-05,-12.6,0.001185,2.1,0.003332,13.8,0.005242,4.5,0.005194,6.0,0.00409,11.7,0.004628
798,-41.4,4.8e-05,-10.7,0.001406,2.5,0.003614,13.6,0.005383,4.4,0.005279,5.0,0.004418,11.1,0.00493
799,-41.5,4.7e-05,-8.9,0.001587,2.8,0.003882,14.0,0.005413,4.6,0.005091,5.2,0.00448,10.6,0.005161
800,-41.5,4.8e-05,-8.6,0.001015,2.7,0.003855,15.0,0.004973,4.7,0.005501,5.0,0.004422,10.6,0.005551
801,-41.6,4.7e-05,-8.3,0.000571,2.6,0.003877,16.4,0.005075,4.2,0.005874,5.0,0.004752,11.7,0.005376
802,-41.6,4.7e-05,-8.0,0.000261,2.5,0.00394,17.0,0.00502,5.3,0.006274,5.5,0.00487,12.2,0.004595
803,-40.3,5.5e-05,-6.9,0.000723,4.7,0.00402,21.0,0.00579,6.4,0.006285,6.0,0.005107,13.3,0.004195
804,-39.0,6.4e-05,-5.8,0.001345,6.8,0.004104,22.5,0.004893,7.5,0.006225,6.0,0.005112,14.4,0.004105
805,-37.7,7.4e-05,-4.7,0.002078,9.0,0.004199,24.0,0.005362,8.3,0.006134,6.8,0.005468,15.6,0.003457
806,-37.6,7.5e-05,-5.0,0.00204,9.4,0.004168,25.0,0.005063,8.5,0.006303,7.0,0.005868,16.7,0.003594
807,-37.5,7.7e-05,-5.2,0.002025,9.8,0.004211,25.4,0.00475,8.8,0.005526,8.0,0.006287,15.6,0.003783
808,-37.4,7.8e-05,-5.5,0.001971,10.2,0.00417,25.0,0.005057,7.9,0.005117,9.1,0.006404,16.7,0.00371
809,-37.9,7.3e-05,-5.6,0.001913,9.7,0.004262,25.0,0.005057,6.8,0.005163,10.0,0.00673,15.0,0.00364
810,-38.3,6.8e-05,-5.6,0.001875,9.3,0.004368,22.4,0.005403,6.2,0.004924,11.0,0.007192,14.4,0.003702
811,-38.8,6.4e-05,-5.7,0.00182,8.8,0.004434,21.0,0.004951,6.0,0.004755,11.3,0.006395,13.3,0.003722
812,-38.9,6.4e-05,-5.9,0.001699,9.3,0.004519,20.0,0.004965,5.5,0.004564,11.0,0.005093,11.7,0.00377
813,-39.0,6.4e-05,-6.1,0.001586,9.8,0.004599,19.3,0.004603,5.5,0.004532,9.0,0.005091,11.1,0.004266
814,-39.1,6.4e-05,-6.3,0.001448,10.3,0.004678,18.4,0.00449,5.1,0.004814,8.4,0.004674,10.6,0.00444
815,-38.7,6.7e-05,-6.7,0.001471,10.2,0.004651,17.3,0.004451,5.0,0.004647,7.0,0.004371,10.0,0.00457
816,-38.2,7.1e-05,-7.0,0.001462,10.2,0.004656,17.0,0.004367,4.4,0.004388,7.0,0.004367,9.4,0.004388
817,-37.8,7.4e-05,-7.4,0.001484,10.1,0.004624,16.4,0.004202,3.6,0.004514,6.8,0.004179,8.9,0.004241
818,-37.5,7.7e-05,-7.3,0.001465,9.2,0.004575,15.7,0.004018,3.4,0.004815,6.0,0.004363,8.3,0.003739
819,-37.3,7.8e-05,-7.3,0.001465,8.4,0.004614,14.8,0.003898,3.8,0.004482,5.0,0.004391,7.8,0.003221
820,-37.0,8e-05,-7.2,0.001447,7.5,0.004599,14.6,0.003627,4.1,0.004419,5.4,0.004404,7.2,0.003464
821,-36.9,8.1e-05,-7.3,0.001452,7.8,0.004633,14.0,0.003382,3.7,0.004453,5.0,0.004391,6.1,0.00321
822,-36.9,8e-05,-7.4,0.001452,8.0,0.004634,14.0,0.003378,3.5,0.004401,5.0,0.004391,5.6,0.002822
823,-36.8,8.1e-05,-7.5,0.001439,8.3,0.004592,14.0,0.003374,3.0,0.00456,5.4,0.0044,5.0,0.003077
824,-36.1,8.7e-05,-7.0,0.001581,8.4,0.004554,13.0,0.003455,3.6,0.004885,5.0,0.004387,6.7,0.003463
825,-35.5,9.3e-05,-6.4,0.001721,8.6,0.004541,13.6,0.003181,4.1,0.005386,5.6,0.004632,10.0,0.003737
826,-34.8,0.000102,-5.9,0.00185,8.7,0.004502,15.0,0.002697,5.9,0.005537,6.2,0.004711,12.8,0.004414
827,-33.8,0.000114,-6.0,0.001678,9.4,0.004275,16.0,0.002636,6.8,0.005692,6.0,0.00471,15.6,0.005414
828,-32.8,0.000127,-6.2,0.001534,10.0,0.004066,17.7,0.002404,7.2,0.005632,7.0,0.005425,17.8,0.005611
829,-31.8,0.000141,-6.3,0.001371,10.7,0.003854,19.0,0.001884,7.6,0.005512,8.1,0.005921,18.9,0.005751
830,-31.9,0.000139,-6.7,0.001335,10.7,0.003531,21.0,0.00164,7.6,0.005711,9.0,0.006231,19.4,0.006081
831,-32.0,0.000138,-7.0,0.001317,10.7,0.003285,20.3,0.001413,7.8,0.005788,10.0,0.006669,20.0,0.006024
832,-32.1,0.000136,-7.4,0.001282,10.7,0.003124,21.0,0.00131,7.8,0.005739,10.4,0.006772,19.4,0.006081
833,-32.7,0.000128,-7.4,0.00119,9.8,0.002862,20.0,0.001385,7.5,0.005523,11.0,0.00672,18.9,0.006833
834,-33.4,0.00012,-7.3,0.001117,8.9,0.002765,18.3,0.001661,7.2,0.005561,11.0,0.00672,17.8,0.006752
835,-34.0,0.000113,-7.3,0.001033,8.0,0.002801,17.0,0.001655,7.3,0.005642,11.3,0.006688,16.1,0.006508
836,-34.4,0.000108,-7.5,0.000992,7.0,0.002803,16.0,0.001913,7.4,0.005631,11.0,0.00672,15.0,0.006265
837,-34.8,0.000103,-7.7,0.000975,5.9,0.002945,15.6,0.001864,7.1,0.005681,11.0,0.006224,14.4,0.005822
838,-35.2,9.9e-05,-7.9,0.000936,4.9,0.003183,15.0,0.001906,7.4,0.005521,11.2,0.006391,13.3,0.005794
839,-34.5,0.000105,-8.1,0.000942,4.5,0.003414,14.0,0.002208,7.2,0.005458,11.0,0.006224,12.2,0.005826
840,-33.8,0.000113,-8.2,0.000942,4.0,0.003759,13.7,0.002683,7.1,0.005526,11.0,0.005398,11.1,0.005822
841,-33.1,0.000122,-8.4,0.000948,3.6,0.004052,13.0,0.002662,7.1,0.005526,10.4,0.005581,11.1,0.005827
842,-33.1,0.000122,-9.2,0.000903,2.3,0.003923,12.0,0.002863,7.1,0.005443,10.0,0.005824,11.1,0.005827
843,-33.2,0.000119,-10.1,0.00086,0.9,0.003751,11.0,0.002852,7.1,0.005532,10.0,0.005824,10.6,0.005787
844,-33.2,0.000118,-10.9,0.000808,-0.4,0.003622,11.0,0.003113,7.2,0.005494,10.1,0.005863,11.1,0.005991
845,-33.4,0.000117,-10.4,0.000846,2.0,0.003485,10.0,0.003155,7.1,0.005583,10.0,0.006288,11.1,0.005822
846,-33.7,0.000113,-9.8,0.000886,4.4,0.003397,9.9,0.003372,7.0,0.005301,10.0,0.006295,11.1,0.005169
847,-33.9,0.000112,-9.3,0.000906,6.8,0.003327,10.0,0.003395,7.4,0.005347,9.8,0.00628,11.1,0.004027
848,-33.8,0.000113,-9.2,0.000967,6.2,0.002773,11.0,0.004061,7.5,0.005457,9.0,0.005797,12.2,0.003462
849,-33.8,0.000113,-9.2,0.001021,5.5,0.002298,11.6,0.003688,7.1,0.005601,9.0,0.005791,15.0,0.002905
850,-33.7,0.000114,-9.1,0.001077,4.9,0.002038,13.0,0.003749,8.1,0.005796,8.1,0.00531,17.2,0.003466
851,-33.2,0.000117,-8.5,0.001184,4.1,0.001821,15.0,0.00371,8.3,0.005964,8.0,0.005403,19.4,0.004952
852,-32.7,0.00012,-7.8,0.001304,3.3,0.001718,16.0,0.003358,8.8,0.006222,9.0,0.00506,20.6,0.006241
853,-32.2,0.000123,-7.2,0.001419,2.5,0.001892,18.0,0.002584,8.5,0.006316,9.0,0.004343,21.1,0.007532
854,-31.7,0.00013,-7.0,0.001489,2.4,0.001428,19.0,0.0029,8.6,0.006422,9.0,0.003484,21.7,0.007333
855,-31.2,0.000137,-6.7,0.001561,2.4,0.001203,19.0,0.002027,9.5,0.006535,10.0,0.003495,21.1,0.006755
856,-30.7,0.000144,-6.5,0.001621,2.3,0.001193,19.0,0.002025,9.4,0.006662,8.9,0.003173,21.1,0.007066
857,-31.3,0.000139,-6.0,0.001714,1.3,0.001027,19.0,0.00217,9.5,0.006556,8.0,0.003184,20.0,0.007032
858,-31.8,0.000134,-5.6,0.00179,0.4,0.001077,17.5,0.0029,9.6,0.006572,6.5,0.003233,19.4,0.006772
859,-32.4,0.000129,-5.1,0.001868,-0.6,0.001316,17.0,0.003191,9.2,0.006698,5.0,0.002693,18.9,0.006826
860,-33.5,0.000115,-5.1,0.001868,-1.1,0.001364,15.0,0.003145,9.4,0.006705,5.0,0.00318,18.9,0.006962
861,-34.5,0.000105,-5.0,0.001866,-1.5,0.001418,14.3,0.002682,9.5,0.006758,5.0,0.003505,18.9,0.007233
862,-35.6,9.3e-05,-5.0,0.001844,-2.0,0.001486,13.0,0.002665,9.5,0.007059,5.6,0.003542,18.9,0.007639
863,-35.8,9.1e-05,-4.9,0.001938,-2.3,0.001511,13.0,0.002466,9.6,0.007157,6.0,0.003468,18.9,0.007647
864,-35.9,9e-05,-4.8,0.00201,-2.6,0.001533,12.8,0.002434,9.9,0.007001,5.0,0.003776,18.3,0.007231
865,-36.1,8.8e-05,-4.7,0.002069,-2.9,0.001554,12.0,0.002404,10.6,0.006974,5.3,0.003805,17.8,0.007645
866,-35.9,9e-05,-4.5,0.002063,-3.0,0.001745,11.0,0.00225,10.6,0.006794,5.0,0.003784,17.8,0.007653
867,-35.8,9.1e-05,-4.3,0.002079,-3.0,0.00198,11.0,0.002076,10.7,0.006938,5.0,0.00406,17.8,0.007907
868,-35.6,9.3e-05,-4.1,0.002073,-3.1,0.002166,10.0,0.002023,11.4,0.006827,5.3,0.004262,17.2,0.008475
869,-35.5,9.4e-05,-3.8,0.00204,-3.2,0.002148,10.0,0.002431,10.8,0.006942,6.0,0.004714,17.8,0.008552
870,-35.4,9.4e-05,-3.6,0.002015,-3.2,0.002121,9.5,0.002036,11.1,0.006775,6.0,0.004719,18.3,0.008829
871,-35.3,9.3e-05,-3.3,0.002006,-3.3,0.002101,9.0,0.002197,11.0,0.006775,6.4,0.004973,18.3,0.008829
872,-35.3,9.3e-05,-3.5,0.001948,-3.5,0.002038,10.0,0.002269,11.0,0.005621,7.0,0.005063,19.4,0.009175
873,-35.3,9.3e-05,-3.6,0.001912,-3.8,0.00196,11.0,0.002426,11.0,0.005015,7.0,0.005442,21.1,0.009101
874,-35.3,9.3e-05,-3.8,0.001878,-4.0,0.001898,13.0,0.002472,10.6,0.004677,7.8,0.005489,22.2,0.008739
875,-34.0,0.000106,-4.0,0.001679,-2.2,0.001835,14.0,0.002642,10.5,0.004519,8.0,0.005836,22.8,0.009416
876,-32.7,0.00012,-4.1,0.001483,-0.3,0.001783,15.4,0.002896,10.7,0.004436,9.0,0.005821,22.2,0.009763
877,-31.4,0.000136,-4.3,0.001307,1.5,0.001702,16.0,0.002892,10.7,0.004429,9.0,0.005966,22.2,0.010605
878,-30.9,0.000143,-4.6,0.001313,1.9,0.001536,17.0,0.002957,11.0,0.004397,9.0,0.005826,22.2,0.010615
879,-30.4,0.000149,-4.8,0.001307,2.2,0.001526,20.0,0.003104,10.7,0.004563,10.0,0.006314,22.2,0.010953
880,-29.9,0.000156,-5.1,0.001295,2.6,0.001748,21.0,0.003465,9.8,0.004551,10.1,0.005658,22.2,0.010953
881,-30.9,0.000145,-5.4,0.00125,1.5,0.001531,20.0,0.003412,8.9,0.00466,10.0,0.006326,22.8,0.011017
882,-32.0,0.000131,-5.7,0.00119,0.3,0.001555,19.8,0.00337,8.2,0.004695,10.0,0.005859,22.2,0.010953
883,-33.0,0.000121,-6.0,0.00113,-0.8,0.001772,19.0,0.003796,7.9,0.004724,10.3,0.005906,21.7,0.010935
884,-34.1,0.000109,-6.3,0.001201,-1.6,0.001786,19.0,0.004678,7.8,0.004874,10.0,0.005871,21.1,0.011322
885,-35.1,9.8e-05,-6.6,0.001289,-2.4,0.001823,18.4,0.004647,7.3,0.004745,10.0,0.005487,21.1,0.011333
886,-36.2,8.7e-05,-6.9,0.001364,-3.2,0.001844,18.0,0.004674,6.8,0.004745,9.6,0.00565,20.0,0.011315
887,-37.1,7.9e-05,-7.4,0.001288,-3.8,0.001888,17.0,0.004646,6.8,0.004759,10.0,0.005498,20.6,0.011916
888,-37.9,7.1e-05,-7.8,0.00122,-4.4,0.001921,16.1,0.004753,6.8,0.004275,10.0,0.005498,20.0,0.01177
889,-38.8,6.3e-05,-8.3,0.001141,-5.0,0.001947,15.5,0.004691,6.3,0.004334,9.8,0.00559,20.0,0.011782
890,-38.9,6.4e-05,-8.5,0.001121,-5.5,0.001935,15.0,0.004661,6.3,0.004179,9.0,0.005886,20.6,0.011928
891,-38.9,6.4e-05,-8.8,0.0011,-6.0,0.001943,14.4,0.004703,6.1,0.004086,9.0,0.005892,20.6,0.011928
892,-39.0,6.4e-05,-9.0,0.00108,-6.5,0.001949,14.0,0.004689,5.4,0.004073,9.0,0.006045,20.0,0.012227
893,-37.4,7.6e-05,-9.4,0.00105,-6.8,0.00194,13.0,0.004391,4.9,0.004073,9.0,0.005898,19.4,0.011759
894,-35.7,9.1e-05,-9.7,0.001013,-7.2,0.001914,12.6,0.004664,4.5,0.00399,9.0,0.006346,18.3,0.011363
895,-34.1,0.000108,-10.1,0.000976,-7.5,0.001904,13.0,0.004688,3.8,0.004115,9.2,0.006351,17.2,0.011332
896,-33.9,0.00011,-9.9,0.000942,-7.3,0.001938,15.0,0.004427,3.7,0.004347,10.0,0.005913,18.9,0.012221
897,-33.8,0.000111,-9.8,0.00092,-7.1,0.001972,15.8,0.004422,3.8,0.004395,9.0,0.005519,22.8,0.013139
898,-33.6,0.000114,-9.6,0.000887,-6.9,0.002008,18.0,0.004679,5.3,0.004419,8.7,0.00512,23.9,0.01274
899,-33.1,0.000118,-10.1,0.000882,-5.6,0.002108,18.0,0.004125,6.4,0.004408,9.0,0.005148,25.0,0.012631
900,-32.6,0.000121,-10.5,0.000881,-4.2,0.002246,19.4,0.004056,7.5,0.004481,10.0,0.004415,25.6,0.012695
901,-32.1,0.000126,-11.0,0.000876,-2.9,0.002335,22.0,0.00406,8.1,0.004241,9.7,0.004322,26.1,0.012236
902,-32.5,0.000124,-11.8,0.000832,-2.3,0.002304,22.0,0.00442,7.9,0.004461,8.8,0.004138,26.7,0.012686
903,-33.0,0.00012,-12.6,0.000779,-1.8,0.002244,23.6,0.004677,7.1,0.00455,8.0,0.003846,26.1,0.012679
904,-33.4,0.000118,-13.4,0.000724,-1.2,0.002192,23.0,0.00432,6.6,0.004634,7.8,0.00379,26.1,0.012666
905,-34.4,0.000106,-13.7,0.000775,-2.0,0.002209,22.0,0.00442,6.5,0.00489,7.0,0.00384,25.6,0.013126
906,-35.3,9.7e-05,-14.1,0.000821,-2.9,0.002226,21.6,0.004655,6.2,0.004953,7.0,0.003836,23.9,0.013156
907,-36.3,8.7e-05,-14.4,0.000875,-3.7,0.002273,21.0,0.005491,5.9,0.005243,6.8,0.00378,22.8,0.013178
908,-36.8,8.2e-05,-14.5,0.00079,-3.7,0.0023,18.0,0.005379,5.9,0.005183,6.0,0.003808,22.2,0.013721
909,-37.4,7.5e-05,-14.7,0.00072,-3.6,0.002347,17.0,0.00583,5.9,0.005151,6.0,0.003808,21.7,0.013135
910,-37.9,7e-05,-14.8,0.000647,-3.6,0.002375,15.5,0.005407,5.1,0.005341,5.9,0.004016,21.1,0.013129
911,-38.4,6.6e-05,-14.8,0.000647,-4.0,0.002378,14.0,0.006304,5.0,0.005654,6.0,0.004103,21.1,0.013129
912,-38.8,6.4e-05,-14.9,0.000647,-4.4,0.002402,13.4,0.005853,5.5,0.005895,5.0,0.004101,20.6,0.013201
913,-39.3,6e-05,-14.9,0.000647,-4.8,0.002422,12.0,0.005052,6.0,0.006043,4.7,0.004081,20.0,0.012723
914,-39.7,5.8e-05,-16.4,0.000568,-5.2,0.00234,12.0,0.00467,6.6,0.006212,5.0,0.004121,20.0,0.013184
915,-40.1,5.6e-05,-18.0,0.00047,-5.5,0.002281,10.8,0.004397,7.4,0.006372,5.0,0.004134,20.0,0.013634
916,-40.5,5.3e-05,-19.5,0.000367,-5.9,0.002201,10.0,0.00408,7.8,0.006505,5.3,0.004571,19.4,0.013124
917,-40.5,5.4e-05,-19.4,0.000335,-5.8,0.002243,9.5,0.003469,8.0,0.006588,5.0,0.004815,19.4,0.013111
918,-40.6,5.3e-05,-19.4,0.000301,-5.7,0.00226,9.0,0.00312,8.3,0.006679,7.0,0.005162,19.4,0.013111
919,-40.6,5.3e-05,-19.3,0.000262,-5.6,0.002257,8.0,0.002912,8.8,0.006731,7.8,0.005523,20.0,0.013184
920,-40.6,5.3e-05,-19.4,0.000266,-4.5,0.002503,9.0,0.003114,9.0,0.006917,9.0,0.005922,21.1,0.014131
921,-40.5,5.4e-05,-19.6,0.00027,-3.4,0.002749,10.0,0.002679,9.1,0.007065,10.0,0.00516,22.8,0.014642
922,-40.5,5.3e-05,-19.7,0.000268,-2.3,0.003017,12.0,0.002409,9.5,0.007101,10.0,0.003976,25.6,0.01464
923,-40.5,5.3e-05,-18.8,0.000335,-0.6,0.003193,14.0,0.002432,10.3,0.007101,9.0,0.00444,26.1,0.015323
924,-40.4,5.4e-05,-18.0,0.000392,1.0,0.003448,15.0,0.002482,10.9,0.006837,8.0,0.004485,27.2,0.014296
925,-40.4,5.4e-05,-17.1,0.000448,2.1,0.003554,16.0,0.002285,10.9,0.006796,8.3,0.004155,27.8,0.013138
926,-39.9,5.7e-05,-16.7,0.000511,3.2,0.00361,17.0,0.002438,11.6,0.006271,7.0,0.004429,27.8,0.013617
927,-39.4,6e-05,-16.4,0.000561,4.3,0.003746,16.8,0.002278,11.7,0.006065,9.0,0.004126,27.2,0.013124
928,-38.9,6.4e-05,-16.0,0.000623,5.4,0.003826,17.0,0.002433,11.5,0.006288,8.4,0.003883,27.2,0.012177
929,-39.1,6.3e-05,-16.4,0.000561,3.7,0.003733,16.0,0.002403,10.8,0.006249,8.0,0.003232,25.0,0.011471
930,-39.4,6.1e-05,-16.7,0.0005,2.0,0.003652,15.0,0.002703,10.0,0.00612,8.0,0.003226,20.6,0.012749
931,-39.6,6e-05,-17.1,0.000444,0.3,0.003573,14.0,0.002213,9.2,0.006019,7.3,0.0032,20.6,0.012749
932,-39.5,6.1e-05,-17.2,0.000444,-0.1,0.0035,13.0,0.00207,7.9,0.006215,5.0,0.003818,20.0,0.012723
933,-39.5,6e-05,-17.2,0.000444,-0.5,0.003422,12.0,0.002216,7.5,0.006072,6.0,0.003503,20.6,0.012749
934,-39.4,6.1e-05,-17.3,0.000441,-0.9,0.003379,11.0,0.002247,7.5,0.005866,5.5,0.003376,20.0,0.01271
935,-39.2,6.2e-05,-16.7,0.000489,-1.8,0.003134,11.0,0.002421,7.3,0.006078,5.0,0.003202,20.0,0.013158
936,-39.1,6.3e-05,-16.2,0.000543,-2.8,0.002878,9.7,0.002617,6.5,0.005937,5.0,0.003196,19.4,0.013098
937,-38.9,6.4e-05,-15.6,0.000588,-3.7,0.002642,9.0,0.002648,6.7,0.005842,4.6,0.00321,19.4,0.012667
938,-39.1,6.3e-05,-15.3,0.0006,-3.7,0.002669,8.0,0.002615,7.1,0.005774,5.0,0.003189,18.9,0.013245
939,-39.4,6.1e-05,-15.1,0.000604,-3.6,0.002692,6.9,0.002886,6.7,0.005983,4.0,0.003226,18.9,0.012688
940,-39.6,6e-05,-14.8,0.000615,-3.6,0.002665,6.0,0.002894,6.2,0.006158,4.0,0.003273,18.9,0.013232
941,-39.7,5.9e-05,-14.6,0.000647,-4.2,0.002558,5.0,0.002872,6.4,0.006426,4.0,0.003219,18.3,0.012186
942,-39.9,5.8e-05,-14.3,0.000666,-4.9,0.002412,5.0,0.003158,6.8,0.0069,4.0,0.003216,17.8,0.01232
943,-40.0,5.7e-05,-14.1,0.000694,-5.5,0.002265,4.0,0.003155,7.7,0.006915,3.5,0.003345,18.9,0.012221
944,-40.5,5.4e-05,-12.4,0.000832,-4.5,0.002519,7.0,0.003691,9.2,0.00675,3.0,0.00346,18.3,0.012162
945,-40.9,5e-05,-10.8,0.000943,-3.4,0.002792,11.1,0.002865,9.7,0.006611,3.0,0.003456,18.3,0.011762
946,-41.4,4.8e-05,-9.1,0.001035,-2.4,0.003038,13.0,0.002656,10.0,0.006502,4.4,0.003554,19.4,0.012175
947,-40.7,5.2e-05,-7.7,0.00115,-1.4,0.003304,16.0,0.002388,10.2,0.006385,5.0,0.003488,22.2,0.012149
948,-40.1,5.5e-05,-6.4,0.001253,-0.3,0.003581,17.3,0.002464,10.3,0.00634,6.0,0.003447,23.9,0.012175
949,-39.4,6.1e-05,-5.0,0.001333,0.7,0.003825,18.0,0.00217,10.2,0.006303,7.8,0.003442,26.1,0.011782
950,-38.8,6.5e-05,-4.5,0.00147,1.2,0.003762,19.0,0.002166,9.7,0.00614,7.0,0.003193,26.1,0.011354
951,-38.1,7e-05,-4.0,0.001585,1.6,0.003663,20.0,0.002151,9.6,0.006127,7.0,0.003437,26.1,0.010926
952,-37.5,7.4e-05,-3.5,0.001732,2.1,0.003624,20.0,0.002151,9.2,0.006285,7.2,0.003481,26.1,0.011354
953,-37.9,7.2e-05,-3.5,0.001694,1.4,0.003607,19.0,0.002021,8.8,0.006477,7.0,0.00343,24.4,0.011391
954,-38.2,7e-05,-3.5,0.001645,0.6,0.00356,18.0,0.00217,8.3,0.006543,7.0,0.003427,23.9,0.011424
955,-38.6,6.7e-05,-3.5,0.00161,-0.1,0.003601,17.0,0.002162,8.4,0.006409,6.7,0.003477,22.8,0.011906
956,-38.7,6.7e-05,-3.7,0.001536,-0.3,0.003538,16.0,0.002026,8.2,0.005393,6.0,0.003424,22.8,0.012786
957,-38.8,6.5e-05,-3.8,0.001442,-0.5,0.00348,15.0,0.002012,8.2,0.004746,6.0,0.00342,22.8,0.012245
958,-38.9,6.4e-05,-4.0,0.001343,-0.7,0.003422,14.0,0.002411,8.1,0.004873,5.5,0.003691,22.2,0.012149
959,-39.0,6.4e-05,-4.6,0.001305,-0.9,0.003362,13.0,0.002653,7.0,0.00523,5.0,0.003721,22.2,0.012149
960,-39.1,6.3e-05,-5.2,0.00125,-1.0,0.003335,11.2,0.002618,6.6,0.005022,5.0,0.003721,22.2,0.012659
961,-39.2,6.3e-05,-5.8,0.001214,-1.2,0.003279,10.0,0.002902,6.2,0.004391,4.0,0.003713,22.2,0.012672
962,-39.4,6.2e-05,-6.2,0.0012,-1.2,0.003279,9.0,0.002863,6.5,0.00433,3.0,0.003737,22.2,0.012672
963,-39.5,6.1e-05,-6.7,0.001195,-1.2,0.003279,8.1,0.003117,5.7,0.004339,2.0,0.003735,22.8,0.013165
964,-39.6,6e-05,-7.1,0.001165,-1.2,0.003279,8.0,0.003096,5.5,0.004089,2.4,0.003754,22.2,0.012684
965,-39.9,5.8e-05,-7.3,0.001144,-1.3,0.003252,7.0,0.003415,4.8,0.004197,3.0,0.003733,22.2,0.013182
966,-40.1,5.6e-05,-7.4,0.001125,-1.4,0.003225,6.6,0.003383,5.1,0.004028,2.0,0.003432,22.2,0.013182
967,-40.4,5.4e-05,-7.6,0.001104,-1.5,0.003198,6.0,0.003368,5.1,0.003853,1.3,0.003219,22.2,0.01368
968,-40.5,5.4e-05,-7.6,0.001165,-1.6,0.003171,7.0,0.002881,4.9,0.003953,0.0,0.003153,22.8,0.013669
969,-40.6,5.4e-05,-7.6,0.001228,-1.7,0.003142,9.3,0.00368,5.3,0.004463,1.0,0.003431,23.3,0.013551
970,-40.7,5.4e-05,-7.6,0.001294,-1.8,0.003116,11.0,0.003698,6.1,0.003971,2.0,0.003645,24.4,0.014109
971,-39.8,6e-05,-7.0,0.001324,-1.8,0.003116,13.0,0.003433,6.6,0.003597,3.0,0.004008,24.4,0.014124
972,-39.0,6.5e-05,-6.4,0.001336,-1.8,0.003116,14.0,0.003142,6.4,0.003503,4.0,0.004004,25.0,0.014058
973,-38.1,7.2e-05,-5.8,0.001365,-1.8,0.003116,16.0,0.002622,7.4,0.003566,5.3,0.004061,25.6,0.014581
974,-37.3,7.8e-05,-5.4,0.001458,-1.7,0.003142,17.0,0.002415,7.0,0.003548,6.0,0.003982,26.1,0.014611
975,-36.4,8.7e-05,-5.0,0.001578,-1.6,0.003168,17.0,0.002415,7.8,0.003954,6.0,0.003696,26.7,0.014715
976,-35.6,9.4e-05,-4.6,0.001669,-1.5,0.003195,17.0,0.002415,7.2,0.003819,6.4,0.003859,26.1,0.015262
977,-35.6,9.4e-05,-4.3,0.001951,-1.6,0.003168,17.0,0.002412,5.9,0.003853,6.0,0.003696,25.6,0.015227
978,-35.6,9.4e-05,-3.9,0.002207,-1.6,0.003168,15.4,0.002062,5.4,0.003962,6.0,0.003696,25.6,0.015844
979,-35.6,9.4e-05,-3.6,0.002521,-1.7,0.003142,14.0,0.002409,4.9,0.003976,5.2,0.00382,23.9,0.015801
980,-35.8,9.2e-05,-3.4,0.002211,-1.9,0.00309,13.0,0.002453,4.5,0.003922,5.0,0.003984,23.9,0.015801
981,-35.9,9.1e-05,-3.2,0.001934,-2.0,0.003064,12.7,0.002405,4.0,0.003931,6.0,0.003986,23.9,0.015801
982,-36.1,8.9e-05,-3.0,0.001667,-2.2,0.003013,12.0,0.002205,2.9,0.003717,6.3,0.004012,23.9,0.015801
983,-36.0,9e-05,-3.6,0.001546,-2.2,0.003013,11.2,0.00183,2.1,0.00383,6.0,0.00399,23.9,0.015801
